date,Bulgaria,France,Germany,UK,Italy,Malta,Slovakia,Serbia,Portugal
1-Jan-2021,0.001897152,0.0716977,0.71963,0.724571,1.0705385,0.764968,0.5978048,0,0.6685141
1-Feb-2021,0.5419874,2.3667379,2.614884,1.1960864,2.385712,5.4346057,3.3361716,7.4510005,2.8173895
1-Mar-2021,1.3775229,4.2503219,5.0711599,6.6172834,5.4203629,10.5750823,4.9445889,14.7784334,5.0877549
1-Apr-2021,3.0935867,9.6410415,7.8272588,21.9292565,10.0314986,20.7397791,9.4781503,21.6550072,8.8864756
1-May-2021,8.1254608,16.6896295,18.1371759,37.7302564,20.3428101,40.7839566,18.3658545,29.6292814,20.202297
1-Jun-2021,11.6791836,31.2538341,37.1723622,48.4527157,31.4122899,63.1449332,31.4410371,37.6831447,34.5921974
1-Jul-2021,14.4980139,47.9432337,52.0766528,56.1850059,52.472387,74.0660725,38.9663753,39.2964641,58.9556491
1-Aug-2021,16.9964135,59.8516063,60.2831443,62.9113072,60.9715388,79.978105,42.0031123,40.9066692,75.4004825
1-Sep-2021,19.2875967,65.9530613,64.1367758,65.8315964,68.0560943,81.462701,43.7066249,42.2304031,85.3418933
1-Oct-2021,21.9110569,68.1452582,66.2253422,67.0199167,71.4798472,82.9941872,45.1007566,43.7617759,87.4097689
1-Nov-2021,25.6968052,69.9234582,68.1320609,68.0270771,73.0578675,83.7711684,46.7639702,45.4575658,88.3759545
1-Dec-2021,27.7657792,73.4520557,70.643371,69.5444334,74.1424848,84.4553381,48.9485748,46.8741173,89.5320509
1-Jan-2022,28.9485845,76.375333,73.4190825,71.0201182,76.398511,87.4309242,49.9900354,47.228186,90.4852643
