location;date;new_cases;new_deaths;icu_patients;hosp_patients;people_fully_vaccinated;population;icu_in_hosp;vacc_percentage;deaths_in_infec;;icu_in_hosp;vacc_percentage;deaths_in_infec
Bulgaria;01.01.2021;274;28;464;4756;;6896655;;;;;0,094853371;0,001897152;0,089127533
Bulgaria;02.01.2021;340;40;462;4747;;6896655;;;;;0,086693261;0,005419874;0,040509014
Bulgaria;03.01.2021;171;34;458;4786;;6896655;;;;;0,080006657;0,013775229;0,031445159
Bulgaria;04.01.2021;1029;157;453;4689;;6896655;;;;;0,082579774;0,030935867;0,05185677
Bulgaria;05.01.2021;1310;67;411;4405;;6896655;;;;;0,102357696;0,081254608;0,091639079
Bulgaria;06.01.2021;1002;59;393;4286;;6896655;;;;;0,114231386;0,116791836;0,11100861
Bulgaria;07.01.2021;867;56;379;4262;;6896655;;;;;0,115993099;0,144980139;0,047131783
Bulgaria;08.01.2021;753;61;377;4250;;6896655;;;;;0,087681372;0,169964135;0,022256257
Bulgaria;09.01.2021;394;19;380;4186;;6896655;;;;;0,083235324;0,192875967;0,042783283
Bulgaria;10.01.2021;105;29;380;4190;;6896655;;;;;0,086390421;0,219110569;0,031067477
Bulgaria;11.01.2021;620;106;380;4205;;6896655;;;;;0,096875419;0,256968052;0,048117539
Bulgaria;12.01.2021;750;47;375;4046;;6896655;;;;;0,114328588;0,277657792;0,048068241
Bulgaria;13.01.2021;535;70;367;3945;;6896655;;;;;0,103477021;0,289485845;0,011534876
Bulgaria;14.01.2021;535;47;348;3681;;6896655;;;;;;;
Bulgaria;15.01.2021;552;61;343;3631;;6896655;;;;;;;
Bulgaria;16.01.2021;233;17;343;3500;;6896655;;;;;;;
Bulgaria;17.01.2021;77;9;340;3485;;6896655;;;;;;;
Bulgaria;18.01.2021;570;82;341;3485;1114;6896655;;;;;;;
Bulgaria;19.01.2021;544;49;329;3312;3168;6896655;;;;;;;
Bulgaria;20.01.2021;482;37;318;3223;4293;6896655;;;;;;;
Bulgaria;21.01.2021;455;90;327;3220;4532;6896655;;;;;;;
Bulgaria;22.01.2021;566;58;297;3045;4605;6896655;;;;;;;
Bulgaria;23.01.2021;266;12;284;2844;4610;6896655;;;;;;;
Bulgaria;24.01.2021;121;9;281;2857;4610;6896655;;;;;;;
Bulgaria;25.01.2021;772;60;283;2874;4669;6896655;;;;;;;
Bulgaria;26.01.2021;827;36;279;2822;5455;6896655;;;;;;;
Bulgaria;27.01.2021;598;28;281;2818;7672;6896655;;;;;;;
Bulgaria;28.01.2021;560;29;265;2865;10883;6896655;;;;;;;
Bulgaria;29.01.2021;695;35;257;2877;12949;6896655;;;;;;;
Bulgaria;30.01.2021;349;20;261;2848;13063;6896655;;;;;;;
Bulgaria;31.01.2021;130;17;263;2866;13084;6896655;;;;;;;
;;16482;1469;10719;113006;;;0,094853371;0,001897152;0,089127533;;;;
Bulgaria;01.02.2021;832;97;264;2886;13656;6896655;;;;;;;
Bulgaria;02.02.2021;967;36;265;2850;15100;6896655;;;;;;;
Bulgaria;03.02.2021;719;40;279;2901;16433;6896655;;;;;;;
Bulgaria;04.02.2021;883;54;284;2969;17096;6896655;;;;;;;
Bulgaria;05.02.2021;910;30;277;3033;17392;6896655;;;;;;;
Bulgaria;06.02.2021;493;9;276;3070;17392;6896655;;;;;;;
Bulgaria;07.02.2021;182;20;281;3133;17392;6896655;;;;;;;
Bulgaria;08.02.2021;1115;89;278;3126;17481;6896655;;;;;;;
Bulgaria;09.02.2021;1212;62;274;3057;17946;6896655;;;;;;;
Bulgaria;10.02.2021;913;45;266;3129;18612;6896655;;;;;;;
Bulgaria;11.02.2021;1070;34;273;3230;19688;6896655;;;;;;;
Bulgaria;12.02.2021;966;33;293;3297;20571;6896655;;;;;;;
Bulgaria;13.02.2021;506;14;304;3317;20674;6896655;;;;;;;
Bulgaria;14.02.2021;163;16;302;3375;20698;6896655;;;;;;;
Bulgaria;15.02.2021;1068;47;301;3425;21323;6896655;;;;;;;
Bulgaria;16.02.2021;1349;32;289;3421;22776;6896655;;;;;;;
Bulgaria;17.02.2021;1246;41;284;3513;24107;6896655;;;;;;;
Bulgaria;18.02.2021;1086;42;296;3613;25441;6896655;;;;;;;
Bulgaria;19.02.2021;1463;35;300;3704;26750;6896655;;;;;;;
Bulgaria;20.02.2021;548;18;316;3775;26923;6896655;;;;;;;
Bulgaria;21.02.2021;227;15;316;3846;26973;6896655;;;;;;;
Bulgaria;22.02.2021;1925;79;321;3880;27952;6896655;;;;;;;
Bulgaria;23.02.2021;1800;45;334;3933;29677;6896655;;;;;;;
Bulgaria;24.02.2021;1733;48;349;4037;32008;6896655;;;;;;;
Bulgaria;25.02.2021;1822;53;369;4202;34719;6896655;;;;;;;
Bulgaria;26.02.2021;1681;49;370;4368;37181;6896655;;;;;;;
Bulgaria;27.02.2021;1079;39;378;4502;37367;6896655;;;;;;;
Bulgaria;28.02.2021;332;24;380;4674;37379;6896655;;;;;;;
;;28290;1146;8519;98266;;;0,086693261;0,005419874;0,040509014;;;;
Bulgaria;01.03.2021;2588;117;394;4744;38775;6896655;;;;;;;
Bulgaria;02.03.2021;2403;83;414;4777;41525;6896655;;;;;;;
Bulgaria;03.03.2021;1154;22;423;5009;41873;6896655;;;;;;;
Bulgaria;04.03.2021;2198;93;425;5093;46712;6896655;;;;;;;
Bulgaria;05.03.2021;3004;65;440;5307;49938;6896655;;;;;;;
Bulgaria;06.03.2021;1426;22;437;5463;50051;6896655;;;;;;;
Bulgaria;07.03.2021;497;21;452;5629;50056;6896655;;;;;;;
Bulgaria;08.03.2021;2995;150;456;5776;50653;6896655;;;;;;;
Bulgaria;09.03.2021;3502;138;503;5903;51644;6896655;;;;;;;
Bulgaria;10.03.2021;2774;97;497;6017;52735;6896655;;;;;;;
Bulgaria;11.03.2021;3121;95;501;6395;53859;6896655;;;;;;;
Bulgaria;12.03.2021;3159;102;502;6604;57336;6896655;;;;;;;
Bulgaria;13.03.2021;2019;38;506;6818;57767;6896655;;;;;;;
Bulgaria;14.03.2021;679;51;522;6948;58417;6896655;;;;;;;
Bulgaria;15.03.2021;4637;187;533;7101;59994;6896655;;;;;;;
Bulgaria;16.03.2021;4374;107;577;7269;61728;6896655;;;;;;;
Bulgaria;17.03.2021;4201;136;612;7600;63752;6896655;;;;;;;
Bulgaria;18.03.2021;4008;102;609;7804;66741;6896655;;;;;;;
Bulgaria;19.03.2021;4162;115;670;8082;69545;6896655;;;;;;;
Bulgaria;20.03.2021;2541;34;689;8332;70753;6896655;;;;;;;
Bulgaria;21.03.2021;943;53;691;8545;71224;6896655;;;;;;;
Bulgaria;22.03.2021;4467;169;690;8660;73853;6896655;;;;;;;
Bulgaria;23.03.2021;4851;119;691;8689;78390;6896655;;;;;;;
